,ID_CLEAN,DESCRIPTION,Comments,ISSUED_DATE,EXPIRATION_DATE,Property_ID
118744,1600038000.0,Fire Alarm,install fire notification system per ibc 2010  780 cmr  and all local applicable ordinance,5/28/13 10:58,11/28/13 0:00,107428.0
118788,502396000.0,Fire Alarm,modify existing fire alarm for use group change per ibc 2009 cmr 780 and all applicable local ordinance,6/7/13 12:56,12/7/13 0:00,29218.0
118789,603617000.0,Fire Alarm,install new fire notification system per ibc 2009 cmr 780 and all local applicable ordinance,6/7/13 12:56,12/7/13 0:00,
118790,1803155000.0,Fire Alarm,install new fire notification system per ibc 2009 780 cmr and all local applicable ordinance,6/7/13 12:56,12/7/13 0:00,141743.0
118791,501646000.0,Fire Alarm,install new fire notification system per ibc 2009 cmr 780 and all local applicable ordinance,6/7/13 12:56,12/7/13 0:00,68830.0
118792,801549000.0,Fire Alarm,install new fire notification system per ibc 2009 cmr 780 and all local applicable ordiance,6/7/13 12:56,12/7/13 0:00,92516.0
118793,201086000.0,Fire Alarm,install new fire notification system per ibc 2009 cmr 780 and all local applicable ordinance,6/7/13 12:56,12/7/13 0:00,88577.0
118794,104139000.0,Fire Alarm,install new fire notification system per ibc 2009 cmr 780 adn all local applicable ordinance,6/7/13 12:56,12/7/13 0:00,345054.0
118795,1501703000.0,Fire Alarm,install new fire notification system per ibc 2009 cmr 780 and all local applicable ordinanace,8/12/13 18:30,2/12/14 0:00,343018.0
118812,1402196000.0,Fire Alarm,New addressable system and local smokes   co detectors,6/5/13 15:00,12/5/13 0:00,133659.0
118840,201086000.0,Fire Alarm,per code adding nine smoke and heat detectors for public hallways and in the units local alarm detectors and correct electrical hazzard in basement,6/6/13 18:43,12/6/13 0:00,88577.0
118883,,Fire Alarm,install new fire notification system per ibc 2009 and cmr 780 eight edition and all applicable local ordinance,8/12/13 18:31,2/12/14 0:00,120733.0
118925,1402195000.0,Fire Alarm,New addressable system and local smoke/co detectors,6/19/13 13:03,12/19/13 0:00,133660.0
118975,703314000.0,Fire Alarm,Wire local hardwired smokes,6/27/13 12:37,12/27/13 0:00,143398.0
118993,1600579000.0,Fire Alarm,modify existing fire alarm per ibc 2009 cmr 780 and all local applicable ordinance,8/12/13 18:30,2/12/14 0:00,33689.0
118994,700729000.0,Fire Alarm,install new fire notification system per ibc 2009 cmr 780 and all applicable local ordinance,8/12/13 18:31,2/12/14 0:00,63238.0
119007,1702508000.0,Fire Alarm,New addressable system and local smokes/co detectors,7/2/13 9:22,1/2/14 0:00,93119.0
119008,1101661000.0,Fire Alarm,New addressable system and local / co detectors,7/2/13 9:19,1/2/14 0:00,148536.0
119123,201773000.0,Fire Alarm,2 unit house with smokes and carbs threwout in public hallways local alarm,7/18/13 12:17,1/18/14 0:00,108860.0
119251,701299000.0,Electrical,hardwire local smoke detectors with battery backup,8/1/13 12:54,2/1/14 0:00,134057.0
119252,701300000.0,Electrical,hardwire local smoke detectors with battery backup,8/1/13 12:54,2/1/14 0:00,134057.0
119325,201773000.0,Fire Alarm,Install local fire alarm to monitor water flow switch and tamper switch for sprinkler system in building. Horns located in each floor with outside bell.,8/9/13 11:57,2/9/14 0:00,108860.0
119340,600552000.0,Fire Alarm,install new fire alarm per ibc 2010  cmr 780 and all applicable local ordinance,8/13/13 9:14,2/13/14 0:00,45460.0
119341,601520004.0,Fire Alarm,install new fire alarm per ibc 2009  cmr 780 and all applicable local ordinance,8/13/13 9:13,2/13/14 0:00,45495.0
119342,402711000.0,Fire Alarm,install new fire alarm per ibc 2009  cmr 780 and all applicable local ordinance,8/13/13 9:14,2/13/14 0:00,120055.0
119466,303780000.0,Fire Alarm,New local fire alarm system in new tourist information/display structure.,6/1/10 14:14,12/1/10 0:00,341820.0
119533,1702080000.0,Fire Alarm,new addressable fa system/ local 120v smoke and co detectors,9/9/13 13:02,3/9/14 0:00,25842.0
119534,601166005.0,Fire Alarm,Install local 120 volt units within apartments with battery backup. Install addressable devices throughout common areas aswell as new evac system  panel fire pump & generator to back up power.,9/9/13 10:09,3/9/14 0:00,155119.0
119619,1201990000.0,Fire Alarm,new addressable system and local smoke/co detectors,9/19/13 16:23,3/19/14 0:00,350879.0
119620,1300567000.0,Fire Alarm,new addressable system local smke /co detectors,9/19/13 16:23,3/19/14 0:00,151712.0
119636,1810526000.0,Electrical,Install new CO detector for new high efficiency boiler.In conjunction with an electrical permit as well.,9/28/13 17:38,3/28/14 0:00,100621.0
119692,502338000.0,Fire Alarm,create new lines and install hard wired local fire alarm detectors,10/1/13 12:16,4/1/14 0:00,20295.0
119724,1702103000.0,Fire Alarm,new addressable system and local smoke/co detectors,10/8/13 11:18,4/8/14 0:00,44608.0
119904,1100623000.0,Fire Alarm,install new fire notification system per ibc 2010 cmr 780 8th ed and all applicable local ordinance,3/10/14 11:30,9/10/14 0:00,59548.0
119906,1300566000.0,Fire Alarm,new addressable systemlocal smoke and co detectors,10/28/13 9:59,4/28/14 0:00,151713.0
120017,,Fire Alarm,install local fire alarm system only,6/18/10 9:38,12/18/10 0:00,162464.0
120070,1002714000.0,Fire Alarm,Install new fire alarm system and local smoke/co detection,11/25/13 20:44,5/25/14 0:00,99195.0
120074,1800870000.0,Fire Alarm,Install local line voltage smoke/CO detectors,11/25/13 20:44,5/25/14 0:00,54859.0
120108,1300571000.0,Fire Alarm,new addressable system /local smoke and co detectors,11/21/13 12:23,5/21/14 0:00,151716.0
120112,2102565015.0,Fire Alarm,Installation of a new addressable fire alarm system and 110 volt local smoke detectors,1/14/14 10:36,7/14/14 0:00,141844.0
120122,503499000.0,Electrical,local 120 smoke detectors,11/22/13 12:39,5/22/14 0:00,11378.0
120192,1702984000.0,Fire Alarm,new fire alarm system in new construction 3 family residential wood framed building  system fire alarm in common area and local interconnected line voltage smoke/carbon detectors in units.,2/24/14 8:33,8/24/14 0:00,55829.0
120257,1300572000.0,Fire Alarm,New addressable system/ local smoke and co detectors,12/12/13 9:54,6/12/14 0:00,151717.0
120315,1901853000.0,Fire Alarm,wiring of local smoke detectors and Combo smoke/CO detectors,12/27/13 9:36,6/27/14 0:00,24059.0
120316,1901853000.0,Electrical,Wiring for Fire Alarm system and local smoke detectors andcombo smoke/CO detectors in the Main House,12/23/13 11:49,6/23/14 0:00,24059.0
120365,1201743000.0,Fire Alarm,new addressable system local 120v smoke and co detectors,12/26/13 11:03,6/26/14 0:00,141899.0
120485,1300718000.0,Fire Alarm,Install addressable fire alarm system in addition to local residential detection.,1/16/14 11:58,7/16/14 0:00,347732.0
120536,702683000.0,Fire Alarm,install new fire notification system per ibc 2009 8th edition 780 cmr 527 cmr and all applicable local ordinance,1/24/14 11:45,7/24/14 0:00,125547.0
120581,2100470000.0,Electrical,install local 120 volt detectors in bedrooms,1/31/14 12:37,7/31/14 0:00,165557.0
120628,402473000.0,Fire Alarm,install new fire notification signaling system per ibc 2009  780cmr  527 cmr and all applicable local ordinance,3/10/14 11:30,9/10/14 0:00,66767.0
120629,702228000.0,Fire Alarm,install new fire notification signaling system per ibc 2009 8th ed  780 cmr 527 cmr and all applicable local ordinance,3/10/14 11:30,9/10/14 0:00,347738.0
120630,603629000.0,Fire Alarm,Install new fire notification signaling system per ibc 2009  780 cmr 527 cmr and all applicable local ordinance,3/10/14 11:30,9/10/14 0:00,124458.0
120631,1700874000.0,Fire Alarm,install new fire notification signaling system per ibc 2009  780 cmr  527 cmr and all applicable local ordinance,3/10/14 11:30,9/10/14 0:00,92771.0
120634,1400219000.0,Fire Alarm,new addressable system local smokes and co detectors,2/10/14 12:21,8/10/14 0:00,57084.0
120703,1100417000.0,Fire Alarm,install new fire notification signaling system per ibc 2009 6th ed  780 cmr 527 cmr and all applicable local ordinance,3/28/14 11:23,9/28/14 0:00,139671.0
120900,603367000.0,Fire Alarm,install new fire alarm per ibc 2009 780 cmr 529 cmr and all applicable local ordinance,3/13/14 9:54,9/13/14 0:00,344896.0
120948,1101583000.0,Fire Alarm,new addressable system for 2041-2049 Columbuslocal smokes and co detectors for 15 units,3/21/14 11:30,9/21/14 0:00,35544.0
120950,2205550001.0,Electrical,Install 120 volt local smoke detectors in stairwells per Boston Fire Dept abatement order.,3/25/14 10:09,9/25/14 0:00,342596.0
120961,2100074001.0,Fire Alarm,Relocation of (12) existing ceiling Spkr/Strobes & addition of (6) Strobe only & (2) Spkr/Strobe  Existiing wiring to be reused with additional new wiring for new devices,3/24/14 14:10,9/24/14 0:00,165240.0
120962,2100074000.0,Fire Alarm,Relocation of (12) existing ceiling Spkr/Strobes & addition of (6) Strobe only & (2) Spkr/Strobe  Existiing wiring to be reused with additional new wiring for new devices,3/24/14 14:10,9/24/14 0:00,165240.0
120985,502186000.0,Fire Alarm,Extension to the base building fire alarm system to interface the new roof top AT&T satellite station.  Adding (1) new speaker strobe and (2) addressable monitor modules to monitor the satellite's local FACP.  There will be no change to the base building'f fire alarm operation. This permit application is a replacement of EFA 219207 2/7/13 which expired.,3/31/14 9:06,9/30/14 0:00,162845.0
121005,1402355000.0,Fire Alarm,adding six 120 volts local smoke/co detecors in the basement,3/28/14 14:44,9/28/14 0:00,114390.0
121041,2012172000.0,Electrical,Installation of local smoke detectors,4/2/14 11:38,10/2/14 0:00,145590.0
121281,203316000.0,Fire Alarm,Install a Firelite MS-4 conventional local fire alarm system to monitor sprinkler flow and tamper switches.  All smoke and carbon monoxide detectors to be 120 volt interconnected devices.,5/5/14 10:09,11/5/14 0:00,150940.0
121402,1300940000.0,Fire Alarm,new addressable system for building 177-185 magnolialocal smoke and co detectors,5/20/14 14:32,11/20/14 0:00,88274.0
121425,603301000.0,Fire Alarm,To install a local fire alarm system.,5/21/14 9:39,11/21/14 0:00,134993.0
121438,201068000.0,Fire Alarm,add 9 smoke detectors local system,5/21/14 15:33,11/21/14 0:00,104588.0
121518,2205550001.0,Fire Alarm,Install 120V local smoke detectors in the common stairwells of building,6/5/14 10:53,12/5/14 0:00,342608.0
121527,600467000.0,Fire Alarm,install new fire alarm per ibc 2009 780 cmr 527 cmr and all applicable local ordinance,6/2/14 10:07,12/2/14 0:00,171466.0
121554,1300834000.0,Electrical,Replace stair way area light fixture and install 110-volt smoke detector in public area  and bed room area  (total 20 device local only ).,6/5/14 16:17,12/5/14 0:00,75527.0
121662,302540000.0,Fire Alarm,install new fire notification system per ibc 2009 780cmr 527cmr and all applicable local ordinance,6/19/14 10:20,12/19/14 0:00,53889.0
121664,503343000.0,Electrical,Wiring of addressable fire alarm system andlocal 120 volt detectors,6/17/14 10:49,12/17/14 0:00,90846.0
121695,1600765000.0,Fire Alarm,install new fire alarm per ibc 2009 cmr780 and cmr 527 and all applicable local ordinance,6/19/14 10:20,12/19/14 0:00,56721.0
121780,105821000.0,Fire Alarm,Install Fire Alarm per IBC 2009 CMR780 CMR 527 and all applicable local ordinances.,6/30/14 12:19,12/30/14 0:00,344685.0
121781,1101407000.0,Fire Alarm,Install Fire Alarm Per IBC 2009 CMR780 CMR527 and applicable local ordinances,6/30/14 12:19,12/30/14 0:00,3284.0
121782,,Fire Alarm,Install new Fire Alarm System per IBC 2099 CMR 780 CMR 529 per all applicable local ordinances,6/30/14 12:19,12/30/14 0:00,93048.0
121928,2205550001.0,Fire Alarm,Install 120V local smoke detectors in common area stairwells of building.,8/1/14 15:02,2/1/15 0:00,342611.0
121929,2205550001.0,Fire Alarm,Install 120V local smoke detectors in common area stairwells of building.,8/1/14 15:03,2/1/15 0:00,342605.0
121930,2205550001.0,Fire Alarm,51 Lake Shore Court - Install 120V local smoke detectors in common area stairwells of building.,8/1/14 15:04,2/1/15 0:00,342610.0
121931,2205550001.0,Fire Alarm,177 Lake Shore Rd - Install 120V local smoke detectors in common area stairwells of building.,8/1/14 15:05,2/1/15 0:00,342597.0
121932,2205550001.0,Fire Alarm,198 Lake Shore Rd - Install 120V local smoke detectors in common area stairwells of building.,8/1/14 15:06,2/1/15 0:00,342599.0
121945,1200371000.0,Fire Alarm,Wire and install system smoke mini horn horn strobe and pullstation throughout building and local smoke.,7/18/14 8:43,1/18/15 0:00,109580.0
121952,1404067000.0,Fire Alarm,new fire alarm per ibc 2009 780 cmr 527cmr and all applicable local ordinance,7/24/14 10:29,1/24/15 0:00,152136.0
121953,500970000.0,Fire Alarm,new fire alarm per ibc 2009 780 cmr 527cmr and all applicable local ordinance,7/24/14 10:29,1/24/15 0:00,84623.0
121954,600435000.0,Fire Alarm,new fire alarm per ibc 2009 780 cmr 527cmr and all applicable local ordinance,7/24/14 10:30,1/24/15 0:00,5763.0
121955,603629000.0,Fire Alarm,new fire alarm per ibc 2009 780 cmr 527cmr and all applicable local ordinance,7/24/14 10:30,1/24/15 0:00,124458.0
121957,1700571000.0,Fire Alarm,new fire alarm per ibc 2009 780 cmr 527cmr and all applicable local ordinance,7/24/14 10:29,1/24/15 0:00,351650.0
121960,702939000.0,Fire Alarm,install new fire alarm per ibc 2009 780 cmr 527 cmr and all applicable local ordinance,7/24/14 10:29,1/24/15 0:00,35432.0
121966,306943000.0,Fire Alarm,Install a local fire larm system with smoke detectors and horn/strobe units.,7/21/14 11:30,1/21/15 0:00,139092.0
121982,1300898000.0,Fire Alarm,new addressable system/ local smoke and co detectors,7/23/14 13:40,1/23/15 0:00,75524.0
122140,601160000.0,Fire Alarm,install new fire notification system per ibc 2009 cmr 527  cmr 780 and all applicable local ordinance,8/18/14 10:21,2/18/15 0:00,21461.0
122153,700501000.0,Fire Alarm,install new fire notification system per ibc 2009 cmr 70 cmr 527 and all applciable local ordinance,8/18/14 10:21,2/18/15 0:00,52543.0
122162,1300767000.0,Fire Alarm,new addressable system and local smoke /co detectors,8/12/14 13:53,2/12/15 0:00,49965.0
122166,2205550001.0,Fire Alarm,26 Lake Shore Court - install 120V local smoke detectors in common area stairwells of building.,8/14/14 9:24,2/14/15 0:00,342614.0
122167,2205550001.0,Fire Alarm,15 19 23 Lake Shore Court - install 120V local smoke detectors in common area stairwells of buildings.,8/14/14 9:24,2/14/15 0:00,342607.0
122168,2205550001.0,Fire Alarm,112 & 116 Lake Shore Rd - install 120V local smoke detectors in common area stairwells of buildings.,8/14/14 9:24,2/14/15 0:00,342591.0
122239,,Fire Alarm,The wiring and installation of one 2 zone fire alarm control panel with three smoke detectors  and three horns. System to be local. The wiring of the fire suppression system for the hoo fan and make up air fan.,8/25/10 10:24,2/25/11 0:00,156288.0
122311,2205550001.0,Fire Alarm,99 Lake Shore Rd. - Install 120V local smoke detectors in common area stairwells of buildings.,9/10/14 9:50,3/10/15 0:00,342589.0
122396,603782000.0,Fire Alarm,install new fire notification system per ibc 2009. 780 cmr 527 cmr and all applicable local ordinance,9/11/14 12:46,3/11/15 0:00,347753.0
122403,2203542000.0,Fire Alarm,installation of local hardwired smoke detectors in two first floor units and low voltage common area alarm system,9/12/14 13:24,3/12/15 0:00,143674.0
122416,603356000.0,Fire Alarm,install new fire notification system per ibc 2009  780 cmr  527 cmr and all applicable local ordinance,10/29/14 12:11,4/29/15 0:00,172741.0
122417,1700571000.0,Fire Alarm,install new fire notification system per ibc 2009  780 cmr  527 cmr and all applicable local ordinance,10/29/14 12:10,4/29/15 0:00,351651.0
122418,1700571000.0,Fire Alarm,install fire notification system per ibc 2009  780 cmr  527 cmr and all applicable local ordinance,10/29/14 12:10,4/29/15 0:00,344804.0
122419,1700571000.0,Fire Alarm,install new fire notification system per ibc 2009  780 cmr  527 cmr and all applicable local ordinance,7/24/15 14:31,1/24/16 0:00,351650.0
122420,702971000.0,Fire Alarm,install new fire notification system per ibc 2009  780 cmr  527 cmr and all applicable local ordinance,10/29/14 12:10,4/29/15 0:00,17151.0
122421,203880000.0,Fire Alarm,install new fire notification system per ibc 2009  780 cmr  527 cmr and all applicable local ordinance,10/29/14 12:10,4/29/15 0:00,145821.0
122641,,Electrical,Furnish and install 3 interconnected local smoke detectors and 1 combination carbon monoxide/smoke detector,10/8/14 11:32,4/8/15 0:00,90302.0
122657,1300789000.0,Fire Alarm,new addressable syste local smoke and co detectors,10/9/14 14:59,4/9/15 0:00,49966.0
122686,,Fire Alarm,Alteration to an existing fire alarm system due to a tenant build out.(1) Low voltage addressable hard wired photo-electronic smoke detector with local and central station annunciation to be installed to replace existing: front area. (1) Low voltage addressable hard wired heat detector with local and central station annunciation to be installed: rear cooking area. (1) Manual addressable fire alarm pull station to be installed: rear door. (1) Horn/strobe to be installed: rear door.(1) Horn/strobe to be installed to replace existing: front door.(2) Addressable input modules to be installed for carbon monoxide and ansul system.(1) Addressable relay module to reset power for carbon monoxide detectors.,11/3/14 9:50,5/3/15 0:00,155730.0
122715,1500458000.0,Fire Alarm,install new type 2 fire alarm per ibc 2009 780 cmr 527 cmr and all applicable local ordinance,10/23/14 11:03,4/23/15 0:00,87958.0
122722,2205550001.0,Electrical,39 Lake Shore Ct. - Install 120V local smoke detectors in common area stairwells of building.,10/24/14 13:11,4/24/15 0:00,342609.0
122723,2205550001.0,Electrical,214 Lake Shore Rd. - Install 120V local smoke detectors in common area stairwells of building.,10/24/14 13:12,4/24/15 0:00,342600.0
122793,701820010.0,Fire Alarm,Install local 120v smoke detectors per 2014 codes in single family residence,11/10/14 13:24,5/10/15 0:00,60331.0
122902,2203754000.0,Fire Alarm,Wire local hard wired alarms for 5 townhouses.,11/17/14 8:08,5/17/15 0:00,154803.0
123036,603629000.0,Fire Alarm,install local smoke detectors in each unit of 3-family,11/25/14 9:21,5/25/15 0:00,124458.0
123054,400278000.0,Fire Alarm,install new fire notification system per ibc 2009 eth ed  cmr780  cmr 527 and all applicable local ordinance,12/1/14 10:01,6/1/15 0:00,96693.0
123055,103382000.0,Fire Alarm,install new fire alarm per ibc 2009 8th ed  cmr 780  cmr 527 and all applicable local ordinance,12/1/14 10:01,6/1/15 0:00,149260.0
123080,1100871000.0,Fire Alarm,new addressable system local smokes and co detectorsfor 37 units and commercial space,12/17/14 13:10,6/17/15 0:00,35481.0
123081,1100870000.0,Fire Alarm,new addressable system local smokes and co detectorsfor 37 units and commercial space,12/17/14 13:10,6/17/15 0:00,35481.0
123193,1101620000.0,Fire Alarm,New addressable fire alarm system fished inNew local smoke and co detectors fished in,12/17/14 13:09,6/17/15 0:00,141946.0
123195,1101647000.0,Fire Alarm,New addressable system 11-15 Waldren fished in New local smoke and co detectors fished in,12/17/14 13:09,6/17/15 0:00,141549.0
123226,700501000.0,Fire Alarm,install local smoke/carbon detectors in new 3-family,12/17/14 10:40,6/17/15 0:00,52543.0
123307,601676000.0,Fire Alarm,Hardwire local smokes for public areas & all of unit 1,12/31/14 8:08,6/30/15 0:00,135331.0
123317,402270000.0,Fire Alarm,Replace existing conventional/local fire alarm system with fully addressable fire alarm system for all 9 addresses; 351 &; 353 will have 1 fire alarm control  355-367 will have their own for a total of 8 new fire alarm systems;in each subsequent building.,1/16/15 11:46,7/16/15 0:00,92058.0
123329,304029000.0,Electrical,Relocate and add new Audio Visual Fire Alarm devices and local smoke detectors,1/13/15 12:40,7/13/15 0:00,20586.0
123366,2100268000.0,Fire Alarm,***ADDRESS IS 508 PARK DRIVE. NOT 509***. Installation of a complete low voltage fire alarm system consisting of:(1) Firelite 50-point addressable master fire alarm control panel to be installed.(21) Firelite low voltage hard wired photo-electronic addressable smoke detectors with local and central station annunciation to be installed. (3) Firelite manual dual action addressable fire alarm pull stations to be installed.(11) System Sensor wall mount horn/strobes to be installed.(4) System Sensor ceiling mount horn/strobes to be installed. (1) System Sensor outdoor weatherproof strobe to be installed.(1) Firelite LCD remote annunciator to be installed: by front door.(1) Firelite addressable duct smoke detector to be installed.(1) Firelite remote test switch for duct smoke detector to be installed.,2/3/15 14:37,8/3/15 0:00,106918.0
123505,1400088000.0,Fire Alarm,New addressable system  local smoke and co detectors,2/13/15 10:40,8/13/15 0:00,35184.0
123577,801145000.0,Fire Alarm,Install local smoke detectors in Unit 3,2/12/15 11:11,8/12/15 0:00,111421.0
123752,901150000.0,Fire Alarm,install new local smoke and co detectorsreplace existing fire alarm devices,3/6/15 13:49,9/6/15 0:00,171099.0
123828,1600273000.0,Fire Alarm,new fire notification system per ibc 2009 cmr 527 and all applicable local ordinance,3/18/15 9:52,9/18/15 0:00,350779.0
123829,501490000.0,Fire Alarm,replace existing fire alarm components for unit remodel in 12F per ibc 2009  cmr 527 and all applicable local ordinance,3/18/15 9:52,9/18/15 0:00,11615.0
123847,1102293000.0,Fire Alarm,new addressable system  local smoke and co detectors,3/24/15 10:43,9/24/15 0:00,144659.0
123914,304892000.0,Fire Alarm,install new fire alarm system and local smokes/co2,3/30/15 9:29,9/30/15 0:00,18358.0
124082,601169000.0,Fire Alarm,Renovation on 2F addad Paint Booth install duck smoke and local speaker strobe with tamper and control module for HVAc,4/16/15 11:18,10/16/15 0:00,340821.0
124118,,Fire Alarm,new fire notification system per ibc 2009 8th ed cmr 527 and all applicable local ordinance,4/22/15 9:39,10/22/15 0:00,341087.0
124119,702300000.0,Fire Alarm,install new fire notification system per ibc 2009 8th ed  cmr 527 cmr 148 and all applicable local ordinance,4/22/15 9:39,10/22/15 0:00,344003.0
124153,,Electrical,Install local 110 smoke detectors in Unit 5,4/27/15 12:02,10/27/15 0:00,90487.0
124160,1904664000.0,Fire Alarm,elec fire smoke detectors local,10/12/10 11:12,4/12/11 0:00,342621.0
124185,801720000.0,Fire Alarm,Renovations to existing fire alarm system. Add new fire alarm wiring for 1st floor corridor  new laundry rooms and new mechanical rooms. Remove and re-install existing fire alarm system smoke detectors in new corridor ceiling grid. Install new local smoke detectors in dwelling units.,5/12/15 8:41,11/12/15 0:00,355344.0
124319,1301403000.0,Fire Alarm,wire new addressable FA system  local smokes and co detectors,5/18/15 10:24,11/18/15 0:00,341231.0
124324,901850000.0,Fire Alarm,install new local smokes and co detectors   replace system FA devices  add new system notification devices in units,5/19/15 13:15,11/19/15 0:00,165927.0
124406,602691000.0,Fire Alarm,new fire alarm speaker/strobes  strobes  smoke detector with LED and Duct detector with remote test & module  modules for security shut down. Booster to be reused,5/29/15 8:40,11/29/15 0:00,42094.0
124546,600025000.0,Fire Alarm,install new fire notification system per ibc 2009  780 cmr  cmr527 and all applicable local ordinance,6/15/15 8:53,12/15/15 0:00,21424.0
124574,603731040.0,Fire Alarm,new fire notification system per ibc 2009 cmr 780 cmr 527 and all applicable local ordinance,6/25/15 14:21,12/25/15 0:00,419829.0
124575,900811000.0,Fire Alarm,install new fire notification system per ibc 2009 cmr 780 cmr 527 and all applicable local ordinance,6/25/15 14:21,12/25/15 0:00,126430.0
124580,201186000.0,Fire Alarm,Installation of new addressable fire alarm system for 42 unit mulit family building.  Installation of units local smokes and co detectors.,6/22/15 11:02,12/22/15 0:00,343516.0
124612,1404077000.0,Fire Alarm,install new fire notification system per ibc 2009 cmr 780 cmr 527 and all applicable local ordinance,6/25/15 14:21,12/25/15 0:00,152153.0
124664,1803828000.0,Fire Alarm,installation of local fire alarm hard wired,10/26/10 15:31,4/26/11 0:00,133855.0
124849,701927000.0,Fire Alarm,reinstall and reuse existing smoke detectors and add one smoke detector,7/16/15 17:32,1/16/16 0:00,129752.0
124854,,Fire Alarm,install new addressable FA systeminstall new local smokes,7/17/15 10:33,1/17/16 0:00,0.0
124855,901150000.0,Fire Alarm,new addressable FA systemlocal smokes,7/17/15 10:33,1/17/16 0:00,347505.0
124856,901150000.0,Fire Alarm,new addressable FA systemnew local smokes,7/17/15 10:33,1/17/16 0:00,347506.0
124879,901850000.0,Fire Alarm,new addressable FA system new local smokes and co detectors,7/23/15 14:43,1/23/16 0:00,68523.0
124881,901855000.0,Fire Alarm,new addressable FA system new local smoke and co detectors,7/23/15 14:43,1/23/16 0:00,150744.0
124882,,Fire Alarm,new addressable FA system new local smokes and co detectors,7/23/15 14:43,1/23/16 0:00,165804.0
124885,901850000.0,Fire Alarm,new addressable FA system new local smoke and co detectors,7/23/15 14:43,1/23/16 0:00,354423.0
124886,901180010.0,Fire Alarm,new addressable FA systemnew local smoke and co detector 150-160 northampton,7/23/15 14:43,1/23/16 0:00,168253.0
125075,1400022000.0,Fire Alarm,complete rewire of the local smoke alarm system,8/10/15 10:06,2/10/16 0:00,113575.0
125108,303821000.0,Fire Alarm,Add Speaker strobes and music shutdown plus lighting controls,8/13/15 9:06,2/13/16 0:00,158086.0
125177,900549000.0,Fire Alarm,Install 5 local 120 volt smoke detectors,8/25/15 18:44,2/25/16 0:00,152470.0
125178,103557000.0,Fire Alarm,install 18 local smoke detectors for the 3 units.  install 7 local smoke detectors in public areas.,10/14/15 8:29,4/14/16 0:00,42044.0
125228,1702304000.0,Fire Alarm,install new fire notification system per ibc 2009  780 cmr 527 cmr and all applicable local ordinance,8/28/15 9:34,2/28/16 0:00,16044.0
125231,1101648000.0,Fire Alarm,add new local smokes/co detectors,8/28/15 11:43,2/28/16 0:00,141550.0
125288,,Fire Alarm,new fire notification system per ibc 2009  cmr 780  cmr 527 and all applicable local ordinanace,9/23/15 9:53,3/23/16 0:00,169865.0
125546,202164100.0,Fire Alarm,Installation of new fire alarm system in ground up building. Low voltage Building base fire alarm system and 120 volt local detectors in the units,10/8/15 16:42,4/8/16 0:00,352649.0
125579,503278000.0,Fire Alarm,install new fire notification system per ibc 2009  cmr780  cmr 527 and all applicable local ordinance,10/14/15 9:42,4/14/16 0:00,10899.0
125618,1301809000.0,Fire Alarm,install new fire notification system per ibc 2009 cmr 780 and cmr 527  1.00 and all applicable local ordinance,10/19/15 11:19,4/19/16 0:00,355593.0
125619,200976100.0,Fire Alarm,install new fire notification system per ibc 2009 cmr 780 and cmr 527  1.00 and all applicable local ordinance,10/19/15 11:19,4/19/16 0:00,51052.0
125620,,Fire Alarm,install new fire notification system per ibc 2009 cmr 780 and cmr 527  1.00 and all applicable local ordinance,10/19/15 11:19,4/19/16 0:00,0.0
125621,1501976000.0,Fire Alarm,install new fire notification system per ibc 2009 cmr 780 and cmr 527  1.00 and all applicable local ordinance,10/19/15 11:19,4/19/16 0:00,98161.0
125622,1002551000.0,Fire Alarm,install new fire notification system per ibc 2009 cmr 780 and cmr 527  1.00 and all applicable local ordinance,10/19/15 11:19,4/19/16 0:00,419392.0
125623,106464000.0,Fire Alarm,install new fire notification system per ibc 2009 cmr 780 and cmr 527  1.00 and all applicable local ordinance,10/19/15 11:19,4/19/16 0:00,89994.0
125624,,Fire Alarm,install new fire notification system per ibc 2009 cmr 780 and cmr 527  1.00 and all applicable local ordinance,10/19/15 11:19,4/19/16 0:00,169865.0
125625,1601035000.0,Fire Alarm,install new fire notification system per ibc 2009 cmr 780 and cmr 527  1.00 and all applicable local ordinance,10/19/15 11:19,4/19/16 0:00,419542.0
125626,1601035000.0,Fire Alarm,install new fire notification system per ibc 2009 cmr 780 and cmr 527  1.00 and all applicable local ordinance,10/19/15 11:19,4/19/16 0:00,378231.0
125627,104688000.0,Fire Alarm,install new fire notification system per ibc 2009 cmr 780 and cmr 527  1.00 and all applicable local ordinance,10/19/15 11:19,4/19/16 0:00,146865.0
125854,603367000.0,Fire Alarm,install new fire notification system per ibc 2009 cmr 720 cmr 527 and all applicable local ordinance,11/17/15 13:50,5/17/16 0:00,347423.0
125917,601002000.0,Fire Alarm,Install local 120 volts smokes  carbons in all three units,11/27/15 15:42,5/27/16 0:00,50571.0
125941,703325000.0,Fire Alarm,Install all required smoke and co2 detectors local system  also local sprinkler control wiring with local water supply tank pump power wiring.,11/30/15 9:09,5/30/16 0:00,17063.0
126057,1603147000.0,Fire Alarm,install new fire notification system per ibc 2009 cmr 780 cmr 527 and all applicable local ordinance,12/10/15 12:44,6/10/16 0:00,58934.0
126151,1501202000.0,Fire Alarm,Install Building Fire Alarm IAW 780 CMR and related NFPA codes associated with New Sprinkler Protection and Occupant Notification  see Construction Permit ALT452142 for local devices.  Devices Herein under ALT550277,1/21/16 10:12,7/21/16 0:00,75065.0
